Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Hand_X_0,Hand_Y_0,Hand_X_1,Hand_Y_1,Hand_X_2,Hand_Y_2,Hand_X_3,Hand_Y_3,Hand_X_4,Hand_Y_4,Hand_X_5,Hand_Y_5,Hand_X_6,Hand_Y_6,Hand_X_7,Hand_Y_7,Hand_X_8,Hand_Y_8,Hand_X_9,Hand_Y_9,Hand_X_10,Hand_Y_10,Hand_X_11,Hand_Y_11,Hand_X_12,Hand_Y_12,Hand_X_13,Hand_Y_13,Hand_X_14,Hand_Y_14,Hand_X_15,Hand_Y_15,Hand_X_16,Hand_Y_16,Hand_X_17,Hand_Y_17,Hand_X_18,Hand_Y_18,Hand_X_19,Hand_Y_19,Hand_X_20,Hand_Y_20
0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6602,0.764,0.6327,0.5387,0.5918,0.3822,0.5505,0.2258,0.5412,0.1061,0.4565,0.4928,0.3632,0.4545,0.311,0.4386,0.2647,0.4344,0.4446,0.5909,0.3684,0.5549,0.4508,0.5665,0.5052,0.5796,0.4516,0.694,0.3793,0.662,0.4655,0.6628,0.5138,0.6723,0.4708,0.8089,0.406,0.7797,0.4669,0.7522,0.5063,0.7447
0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659,0.7491,0.628,0.5286,0.5859,0.3797,0.5429,0.2237,0.5343,0.105,0.4554,0.4847,0.3607,0.4531,0.3071,0.4388,0.2594,0.4321,0.4452,0.5828,0.3634,0.5555,0.4439,0.5643,0.5009,0.5699,0.4518,0.6848,0.378,0.6587,0.4613,0.6573,0.5146,0.6608,0.4703,0.7933,0.4062,0.767,0.4657,0.7463,0.5075,0.7398
0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658,0.7539,0.6232,0.5366,0.5787,0.3801,0.5322,0.2252,0.5229,0.1046,0.4524,0.5003,0.3594,0.4658,0.3071,0.454,0.2584,0.4515,0.4419,0.6001,0.3593,0.5727,0.4404,0.5754,0.4985,0.5827,0.4497,0.7037,0.3764,0.6798,0.4608,0.6722,0.5124,0.6765,0.469,0.8156,0.4047,0.7884,0.4622,0.7591,0.5037,0.7485
0.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657,0.7408,0.6241,0.5258,0.5813,0.3766,0.5338,0.2269,0.5195,0.1136,0.4562,0.4886,0.3652,0.4642,0.3117,0.4521,0.2639,0.4476,0.4466,0.586,0.3634,0.5666,0.4419,0.5689,0.4973,0.5708,0.4525,0.6855,0.3786,0.668,0.4599,0.6618,0.5119,0.6626,0.4701,0.7919,0.4056,0.7693,0.4624,0.7491,0.5047,0.7411
0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6475,0.7129,0.6208,0.5128,0.576,0.3589,0.5314,0.2134,0.5157,0.1025,0.4512,0.4766,0.3616,0.4504,0.307,0.439,0.2588,0.4342,0.4417,0.571,0.3577,0.5477,0.4329,0.5476,0.4923,0.5507,0.4483,0.6693,0.3748,0.6477,0.4534,0.639,0.5068,0.6409,0.4658,0.7754,0.4029,0.7462,0.4565,0.7257,0.4992,0.7232
0.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.649,0.7114,0.6189,0.4895,0.576,0.3375,0.5275,0.1848,0.5099,0.0729,0.4468,0.4511,0.3557,0.4203,0.3013,0.4091,0.2525,0.4064,0.4366,0.5484,0.3558,0.5233,0.4353,0.5321,0.4926,0.5354,0.4441,0.6508,0.3702,0.6303,0.4511,0.6285,0.5036,0.6281,0.464,0.7586,0.4005,0.7358,0.4574,0.7133,0.4981,0.7016
0.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.639,0.6987,0.6134,0.4828,0.5707,0.331,0.5259,0.1815,0.5117,0.0673,0.4406,0.4452,0.3489,0.4162,0.2959,0.4024,0.2486,0.3975,0.4301,0.5411,0.3512,0.5139,0.4288,0.5178,0.485,0.5262,0.4365,0.6427,0.3634,0.6188,0.4446,0.6132,0.4962,0.6184,0.4547,0.7539,0.3923,0.7261,0.4491,0.7012,0.4906,0.6949
0.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633,0.7082,0.6007,0.48,0.5599,0.3334,0.5146,0.1784,0.5021,0.0632,0.4314,0.4472,0.3384,0.413,0.2862,0.3984,0.2395,0.3944,0.4209,0.5434,0.3427,0.513,0.4209,0.5194,0.4748,0.5276,0.4287,0.6456,0.3529,0.6192,0.4338,0.6141,0.4854,0.6199,0.4489,0.7578,0.3838,0.7302,0.4397,0.7002,0.4804,0.6905
0.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6349,0.6993,0.6008,0.4832,0.5566,0.3337,0.5108,0.182,0.4966,0.0659,0.4302,0.4417,0.3374,0.4132,0.2836,0.3987,0.2359,0.3944,0.421,0.5403,0.3409,0.5157,0.4219,0.5233,0.4769,0.5318,0.4293,0.6429,0.3569,0.6237,0.439,0.6183,0.4897,0.6214,0.4496,0.7517,0.3866,0.7283,0.4438,0.703,0.4828,0.6943
0.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6465,0.6973,0.6133,0.477,0.5665,0.3225,0.5178,0.17,0.5027,0.0539,0.4399,0.4396,0.3481,0.4098,0.2929,0.3949,0.2446,0.3876,0.4311,0.5405,0.3488,0.5159,0.4272,0.5176,0.4823,0.5206,0.44,0.6433,0.3659,0.6243,0.4465,0.6135,0.4983,0.6159,0.4616,0.7534,0.3973,0.73,0.4509,0.7002,0.4899,0.6916
1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6417,0.6945,0.6121,0.4775,0.5694,0.3245,0.5243,0.1758,0.5114,0.0599,0.4393,0.4375,0.3488,0.4082,0.2952,0.3924,0.2484,0.3857,0.4287,0.5361,0.3519,0.5066,0.4324,0.5136,0.4861,0.5212,0.4355,0.6388,0.3644,0.615,0.4464,0.6105,0.496,0.6152,0.454,0.7516,0.3914,0.7247,0.4494,0.7,0.4894,0.6933
1.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6305,0.6836,0.6032,0.4762,0.557,0.3252,0.5126,0.1762,0.5006,0.0599,0.429,0.4418,0.3371,0.4127,0.2836,0.3979,0.2362,0.3926,0.4204,0.5375,0.3428,0.5099,0.4209,0.5104,0.4747,0.5176,0.4286,0.6367,0.3554,0.6133,0.4374,0.604,0.4875,0.6097,0.4475,0.7462,0.3845,0.7186,0.4398,0.6916,0.4794,0.6877
1.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6379,0.6632,0.6038,0.4319,0.5609,0.287,0.5107,0.1429,0.4887,0.0336,0.4305,0.4038,0.3403,0.3704,0.2872,0.354,0.2389,0.347,0.4202,0.4998,0.3414,0.4674,0.4222,0.4803,0.4771,0.4884,0.4277,0.6009,0.3566,0.5701,0.4385,0.5719,0.4865,0.5782,0.4475,0.7096,0.3835,0.6821,0.4421,0.6562,0.4808,0.6464
1.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6395,0.6764,0.6042,0.4455,0.5618,0.2967,0.5128,0.1497,0.4917,0.039,0.43,0.4179,0.3376,0.3821,0.286,0.3635,0.238,0.3552,0.4202,0.5159,0.3424,0.4835,0.4243,0.4908,0.4792,0.5023,0.429,0.6192,0.3567,0.5931,0.44,0.5888,0.4896,0.5963,0.4489,0.7299,0.3836,0.7036,0.4421,0.6769,0.4806,0.6705
1.507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6382,0.6594,0.6063,0.437,0.5621,0.2863,0.5136,0.1389,0.4915,0.0292,0.432,0.4025,0.3393,0.3711,0.2861,0.3535,0.2382,0.3455,0.4217,0.4992,0.3409,0.4694,0.4221,0.4764,0.4778,0.4832,0.4286,0.5999,0.3571,0.5734,0.4396,0.569,0.4903,0.5749,0.447,0.7109,0.3827,0.6807,0.441,0.6569,0.4817,0.6516
1.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6299,0.6703,0.6009,0.4466,0.5597,0.2946,0.5155,0.1472,0.496,0.0391,0.4254,0.4035,0.3347,0.3697,0.281,0.3507,0.2337,0.3429,0.4133,0.5001,0.3392,0.4638,0.4205,0.4751,0.4726,0.4861,0.4199,0.6027,0.3481,0.5749,0.4309,0.5758,0.4793,0.5846,0.4386,0.7169,0.3748,0.6883,0.4346,0.6645,0.4743,0.6604
1.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6155,0.6632,0.5916,0.4461,0.5488,0.2861,0.5028,0.1375,0.4819,0.0255,0.4156,0.4047,0.3237,0.3693,0.2697,0.351,0.2217,0.3416,0.4044,0.5021,0.3253,0.4655,0.4054,0.4709,0.4612,0.4797,0.4104,0.6049,0.3383,0.5741,0.422,0.5717,0.4728,0.5806,0.4272,0.7202,0.3645,0.6864,0.4238,0.6644,0.4654,0.6637
1.796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6129,0.6606,0.5839,0.427,0.5445,0.2747,0.4984,0.1231,0.4739,0.0137,0.4075,0.3877,0.3146,0.3467,0.2607,0.3216,0.2127,0.3096,0.3949,0.4843,0.3169,0.4447,0.4,0.4565,0.4557,0.4666,0.4015,0.5874,0.3302,0.5543,0.4141,0.5553,0.464,0.5632,0.4203,0.7012,0.3553,0.6683,0.4155,0.6454,0.4552,0.6413
1.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6145,0.6718,0.5845,0.4387,0.5433,0.2809,0.4945,0.13,0.4736,0.016,0.4069,0.3977,0.3138,0.3558,0.2609,0.3329,0.2122,0.3206,0.3952,0.4983,0.3185,0.4597,0.4015,0.4715,0.4566,0.4868,0.4026,0.6049,0.329,0.5754,0.4142,0.5756,0.4652,0.5853,0.4217,0.7193,0.3573,0.6901,0.4175,0.6653,0.4574,0.6589
2.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6228,0.668,0.5942,0.4412,0.5522,0.2831,0.5023,0.1309,0.48,0.0186,0.418,0.3946,0.3254,0.3563,0.2705,0.3304,0.2216,0.3149,0.4062,0.4935,0.3257,0.4563,0.407,0.4659,0.4622,0.4785,0.4123,0.596,0.3393,0.5674,0.4213,0.5649,0.4733,0.5737,0.4308,0.707,0.3671,0.677,0.4236,0.6521,0.4646,0.6457
2.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6294,0.6535,0.6046,0.4382,0.5617,0.2847,0.5147,0.1383,0.4947,0.0299,0.4295,0.3951,0.3388,0.3601,0.2853,0.3342,0.2383,0.3195,0.417,0.4906,0.3338,0.457,0.4141,0.4641,0.4701,0.4744,0.4217,0.5891,0.3488,0.563,0.4306,0.5605,0.4824,0.5693,0.438,0.6999,0.3743,0.6702,0.4291,0.6487,0.471,0.6447
2.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6265,0.5944,0.6071,0.4046,0.5576,0.243,0.5126,0.1049,0.4898,-0.0018,0.4272,0.3603,0.3429,0.3263,0.2894,0.3001,0.2436,0.2839,0.4177,0.4509,0.336,0.4084,0.4152,0.4141,0.4701,0.4296,0.4232,0.5477,0.351,0.5133,0.4326,0.5097,0.4829,0.5259,0.4386,0.6568,0.378,0.616,0.4352,0.5916,0.4766,0.5957
2.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6342,0.5175,0.616,0.3264,0.5624,0.1617,0.5159,0.029,0.4973,-0.0758,0.4331,0.2894,0.348,0.2581,0.2948,0.2312,0.2486,0.2116,0.4258,0.3793,0.3472,0.3386,0.4222,0.3414,0.4752,0.3605,0.4331,0.4744,0.3604,0.4412,0.4391,0.4375,0.4875,0.4565,0.4505,0.5826,0.3866,0.5466,0.4414,0.5228,0.4814,0.5271
2.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6509,0.4477,0.6283,0.2492,0.5784,0.0934,0.5368,-0.0362,0.5209,-0.1344,0.4465,0.2139,0.357,0.1822,0.3027,0.1555,0.2559,0.139,0.4389,0.3066,0.3568,0.2689,0.4366,0.2698,0.4912,0.283,0.448,0.404,0.3708,0.375,0.4534,0.3685,0.5027,0.3831,0.4684,0.5143,0.4031,0.484,0.4616,0.456,0.5026,0.4559
2.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6636,0.4083,0.6467,0.2128,0.5973,0.0388,0.5606,-0.0912,0.5404,-0.1786,0.4638,0.1648,0.373,0.1268,0.318,0.1006,0.2701,0.0787,0.452,0.2626,0.3658,0.2173,0.4438,0.2236,0.5056,0.2405,0.4562,0.3669,0.3824,0.3355,0.4653,0.3327,0.5186,0.3466,0.4707,0.4828,0.4049,0.4458,0.4629,0.4221,0.5073,0.4251
2.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6102,0.5446,0.5939,0.3285,0.5637,0.137,0.5439,-0.0165,0.52,-0.1194,0.4278,0.2599,0.3418,0.2074,0.2864,0.183,0.2344,0.1572,0.4183,0.3754,0.3315,0.3486,0.3984,0.3648,0.446,0.3688,0.4232,0.4915,0.3536,0.4768,0.4259,0.4899,0.4621,0.4917,0.4331,0.6067,0.3779,0.6077,0.4266,0.6063,0.456,0.6002
2.707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5776,0.7492,0.5306,0.5108,0.4964,0.3326,0.4601,0.1595,0.4388,0.0377,0.357,0.4544,0.2572,0.4209,0.2058,0.3994,0.1597,0.3931,0.3462,0.5577,0.2595,0.5501,0.3362,0.5564,0.3829,0.5496,0.3536,0.6616,0.2863,0.6594,0.357,0.6602,0.3964,0.6549,0.3744,0.7667,0.3159,0.7762,0.3651,0.7639,0.394,0.7484
