Timestamp,Flex1,Flex2,Flex3,Flex4,Flex5,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Hand_X_0,Hand_Y_0,Hand_X_1,Hand_Y_1,Hand_X_2,Hand_Y_2,Hand_X_3,Hand_Y_3,Hand_X_4,Hand_Y_4,Hand_X_5,Hand_Y_5,Hand_X_6,Hand_Y_6,Hand_X_7,Hand_Y_7,Hand_X_8,Hand_Y_8,Hand_X_9,Hand_Y_9,Hand_X_10,Hand_Y_10,Hand_X_11,Hand_Y_11,Hand_X_12,Hand_Y_12,Hand_X_13,Hand_Y_13,Hand_X_14,Hand_Y_14,Hand_X_15,Hand_Y_15,Hand_X_16,Hand_Y_16,Hand_X_17,Hand_Y_17,Hand_X_18,Hand_Y_18,Hand_X_19,Hand_Y_19,Hand_X_20,Hand_Y_20
0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7547,0.9203,0.7428,0.6609,0.6742,0.4748,0.5757,0.3807,0.49,0.3323,0.5107,0.5174,0.4042,0.4398,0.3359,0.4152,0.2756,0.3997,0.4734,0.6241,0.3544,0.5386,0.2761,0.4886,0.2143,0.45,0.46,0.7394,0.3463,0.6649,0.2817,0.6088,0.2257,0.56,0.4655,0.869,0.3733,0.7989,0.3206,0.7501,0.2714,0.698
0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7555,0.9176,0.7425,0.6609,0.6751,0.4757,0.5771,0.3809,0.4906,0.3328,0.5105,0.5145,0.4042,0.4362,0.3355,0.4116,0.2744,0.3968,0.4735,0.6206,0.3543,0.5344,0.276,0.4851,0.2136,0.4463,0.4601,0.7362,0.3463,0.6606,0.2813,0.6048,0.2249,0.5563,0.4655,0.8665,0.3742,0.7956,0.3217,0.7475,0.2729,0.6967
0.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7535,0.9167,0.7409,0.6583,0.6741,0.4713,0.5754,0.3769,0.4889,0.3294,0.5103,0.5111,0.4033,0.4324,0.3344,0.4076,0.2731,0.3925,0.4733,0.6174,0.3543,0.5307,0.2756,0.4812,0.2134,0.4428,0.4595,0.7325,0.3459,0.656,0.2812,0.6007,0.2254,0.5532,0.4647,0.8625,0.3736,0.7921,0.3208,0.7434,0.2715,0.692
0.401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7535,0.914,0.7411,0.6554,0.6745,0.4692,0.5756,0.3748,0.4898,0.3261,0.5091,0.5105,0.4027,0.4306,0.3341,0.4057,0.2735,0.3908,0.472,0.6162,0.3528,0.5281,0.2747,0.4776,0.2132,0.4384,0.4582,0.7309,0.3445,0.6558,0.2798,0.6004,0.2241,0.5521,0.4635,0.8613,0.3714,0.7915,0.3179,0.7432,0.2682,0.6924
0.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7541,0.911,0.7409,0.653,0.6728,0.4671,0.5733,0.3734,0.4868,0.328,0.5094,0.5083,0.403,0.4298,0.3344,0.4045,0.2735,0.3888,0.472,0.6147,0.3529,0.5273,0.2746,0.4771,0.2122,0.438,0.458,0.7299,0.3448,0.6561,0.2802,0.6007,0.2249,0.5525,0.4628,0.8595,0.3714,0.7876,0.319,0.7392,0.2709,0.6889
0.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7537,0.9083,0.7412,0.652,0.6731,0.4665,0.5737,0.3728,0.487,0.3275,0.509,0.5078,0.4027,0.428,0.3344,0.4025,0.2738,0.3864,0.4715,0.6135,0.3521,0.5256,0.2741,0.4761,0.212,0.4381,0.4576,0.7282,0.3444,0.6539,0.2793,0.5989,0.2235,0.5521,0.4628,0.8573,0.3723,0.7872,0.3191,0.7402,0.2697,0.6926
0.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7558,0.9131,0.7465,0.6662,0.6704,0.4599,0.5558,0.3903,0.4941,0.4928,0.5112,0.5036,0.4117,0.4212,0.3459,0.3957,0.29,0.3778,0.4741,0.6111,0.3639,0.5228,0.295,0.4751,0.2352,0.4354,0.461,0.7201,0.357,0.6467,0.2953,0.5851,0.2456,0.5418,0.4656,0.8444,0.3781,0.7792,0.3275,0.7273,0.2842,0.679
0.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7577,0.913,0.7544,0.6669,0.6774,0.46,0.5664,0.4025,0.519,0.5183,0.5169,0.5,0.4162,0.421,0.3486,0.397,0.2894,0.3819,0.4772,0.6063,0.366,0.5178,0.2946,0.4677,0.2327,0.4295,0.4634,0.7161,0.3578,0.6403,0.2949,0.5765,0.2422,0.5319,0.4673,0.843,0.3793,0.7782,0.3277,0.7256,0.2821,0.6749
0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7577,0.9185,0.7578,0.6677,0.6808,0.4555,0.5666,0.4066,0.5238,0.5302,0.5134,0.4926,0.4118,0.4141,0.3443,0.3902,0.2849,0.3766,0.4739,0.6009,0.3617,0.5136,0.2896,0.4625,0.2264,0.4255,0.4604,0.7116,0.3542,0.64,0.2898,0.5765,0.2357,0.5338,0.4649,0.8431,0.3751,0.7898,0.3199,0.7429,0.2717,0.6999
1.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7595,0.9163,0.7569,0.6532,0.6818,0.4452,0.5716,0.3979,0.5347,0.5284,0.5141,0.4844,0.4142,0.4073,0.3487,0.3847,0.2898,0.3707,0.4737,0.5909,0.3636,0.5066,0.2924,0.4551,0.229,0.4166,0.4603,0.7015,0.3563,0.6258,0.2941,0.5591,0.2397,0.5122,0.4655,0.8315,0.3747,0.7648,0.3219,0.7103,0.2754,0.6567
